"sample #','MLII','V5'"
"9,951,011"
"19,951,011"
"29,951,011"
"39,951,011"
"49,951,011"
"59,951,011"
"69,951,011"
"79,951,011"
"810,001,008"
"99,971,008"
"109,951,007"
"119,941,007"
"129,921,009"
"139,931,010"
"149,921,010"
"159,891,011"
"169,881,013"
"179,871,014"
"189,901,014"
"199,931,016"
"209,891,016"
"219,881,013"
"229,861,009"
"239,881,008"
"249,931,007"
"259,971,010"
"269,931,008"
"279,861,008"
"289,831,006"
"299,771,005"
"309,791,006"
"319,751,005"
"329,741,002"
"339,721,000"
"34,969,995"
"35,969,997"
"369,691,003"
"379,711,005"
"389,731,003"
"399,711,000"
"40,969,997"
"41,966,999"
"42,966,999"
"439,661,001"
"449,661,001"
"45,967,999"
"46,965,996"
"47,963,996"
"48,967,998"
"49,969,999"
"50,969,996"
"51,968,995"
"52,967,994"
"53,963,994"
"54,966,998"
"559,641,001"
"56,968,999"
"57,966,997"
"58,964,992"
"59,961,985"
"60,960,984"
"61,957,983"
"62,952,979"
"63,947,973"
"64,947,964"
"65,943,966"
"66,933,977"
"67,927,998"
"689,271,017"
"699,391,034"
"709,581,048"
"719,801,064"
"7,210,101,086"
"7,310,481,111"
"7,410,991,131"
"7,511,481,140"
"7,611,801,119"
"7,711,921,066"
"7,811,771,007"
"791,128,978"
"801,058,974"
"81,991,981"
"82,951,988"
"83,937,987"
"84,939,992"
"85,950,994"
"86,958,994"
"87,959,988"
"88,957,988"
"89,955,992"
"90,958,991"
"91,959,990"
"92,961,991"
"93,962,987"
"94,960,987"
"95,957,987"
"96,956,990"
"97,959,992"
"98,955,993"
"99,957,989"
"100,958,985"
"101,957,987"
"102,958,987"
"103,959,989"
"104,958,989"
"105,958,985"
"106,955,986"
"107,953,988"
"108,957,991"
"109,959,990"
"110,963,990"
"111,960,990"
"112,960,986"
"113,958,987"
"114,956,988"
"115,957,990"
"116,956,989"
"117,955,986"
"118,953,984"
"119,953,985"
"120,956,987"
"121,958,990"
"122,958,990"
"123,958,987"
"124,956,985"
"125,954,989"
"126,959,984"
"127,959,987"
"128,958,988"
"129,958,987"
"130,957,983"
"131,957,986"
"132,956,988"
"133,958,987"
"134,956,984"
"135,954,981"
"136,953,983"
"137,954,982"
"138,955,984"
"139,958,987"
"140,960,983"
"141,957,984"
"142,958,982"
"143,955,983"
"144,958,987"
"145,957,987"
"146,957,984"
"147,955,981"
"148,955,979"
"149,953,980"
"150,956,984"
"151,956,984"
"152,957,981"
"153,958,979"
"154,954,977"
"155,954,975"
"156,955,976"
"157,957,976"
"158,957,976"
"159,957,975"
"160,954,972"
"161,953,972"
"162,953,971"
"163,955,971"
"164,955,968"
"165,957,967"
"166,954,965"
"167,952,965"
"168,952,964"
"169,952,966"
"170,951,964"
"171,952,961"
"172,950,961"
"173,947,961"
"174,950,961"
"175,952,962"
"176,953,962"
"177,952,959"
"178,949,958"
"179,949,959"
"180,951,961"
"181,951,963"
"182,952,963"
"183,952,966"
"184,951,966"
"185,950,969"
"186,953,970"
"187,958,975"
"188,959,976"
"189,959,974"
"190,957,974"
"191,956,977"
"192,961,980"
"193,964,985"
"194,964,986"
"195,966,986"
"196,965,986"
"197,966,988"
"198,967,992"
"199,969,995"
"200,973,994"
"201,974,992"
"202,974,992"
"203,971,993"
"204,973,995"
"205,975,996"
"206,978,992"
"207,975,994"
"208,975,989"
"209,973,990"
"210,973,992"
"211,976,992"
"212,974,994"
"213,973,993"
"214,975,992"
"215,973,990"
"216,974,993"
"217,974,993"
"218,971,994"
"219,972,991"
"220,972,989"
"221,971,991"
"222,970,991"
"223,971,992"
"224,972,992"
"225,969,988"
"226,968,989"
"227,966,987"
"228,969,991"
"229,970,994"
"230,972,994"
"231,968,990"
"232,968,987"
"233,967,985"
"234,969,986"
"235,969,986"
"236,971,987"
"237,970,986"
"238,967,982"
"239,966,985"
"240,968,986"
"241,969,988"
"242,967,983"
"243,968,981"
"244,964,979"
"245,964,982"
"246,963,983"
"247,965,985"
"248,964,984"
"249,962,985"
"250,962,982"
"251,963,981"
"252,965,983"
"253,967,987"
"254,967,985"
"255,966,985"
"256,965,980"
"257,962,980"
"258,966,982"
"259,965,981"
"260,964,980"
"261,963,980"
"262,962,979"
"263,959,982"
"264,962,984"
"265,964,982"
"266,966,979"
"267,962,978"
"268,959,979"
"269,958,980"
"270,961,978"
"271,964,982"
"272,963,981"
"273,962,981"
"274,960,978"
"275,958,981"
"276,959,980"
"277,961,983"
"278,962,983"
"279,963,982"
"280,963,981"
"281,962,979"
"282,964,981"
"283,963,981"
"284,966,981"
"285,964,979"
"286,964,979"
"287,963,979"
"288,963,983"
"289,966,985"
"290,968,982"
"291,965,982"
"292,963,981"
"293,961,977"
"294,963,978"
"295,965,980"
"296,966,980"
"297,968,978"
"298,970,979"
"299,969,978"
"300,969,981"
"301,970,985"
"302,974,985"
"303,974,986"
"304,973,984"
"305,979,985"
"306,980,988"
"307,983,990"
"308,984,988"
"309,983,989"
"310,981,985"
"311,978,985"
"312,980,990"
"313,979,989"
"314,979,989"
"315,979,988"
"316,978,987"
"317,977,987"
"318,976,989"
"319,977,989"
"320,980,989"
"321,982,986"
"322,983,983"
"323,975,984"
"324,967,983"
"325,967,983"
"326,964,981"
"327,962,981"
"328,958,979"
"329,958,981"
"330,959,982"
"331,961,984"
"332,960,981"
"333,961,979"
"334,959,975"
"335,956,975"
"336,955,974"
"337,956,979"
"338,956,978"
"339,954,977"
"340,955,976"
"341,953,977"
"342,958,977"
"343,957,980"
"344,958,978"
"345,960,976"
"346,955,976"
"347,953,975"
"348,956,979"
"349,958,979"
"350,959,977"
"351,958,974"
"352,954,970"
"353,951,968"
"354,952,966"
"355,948,964"
"356,939,958"
"357,935,952"
"358,929,953"
"359,922,963"
"360,917,983"
"3,619,231,008"
"3,629,411,027"
"3,639,641,037"
"3,649,921,047"
"36,510,211,062"
"36,610,711,084"
"36,711,221,106"
"36,811,681,123"
"36,911,991,121"
"37,012,121,096"
"37,112,051,045"
"3,721,175,991"
"3,731,122,954"
"3,741,057,934"
"3,751,002,930"
"376,970,934"
"377,946,945"
"378,934,955"
"379,929,962"
"380,933,965"
"381,939,967"
"382,946,965"